epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.901,1.154,2.31881,1.36979,0.0055,0.91667,0.07666,0.03252,2.35575,3.9161,3.08953,0.09604,4e-05,4e-05
2,160.784,0.99686,1.75839,1.26792,0.00822,0.59219,0.10317,0.03372,2.80032,5.11356,3.41404,0.0910891,8.9109e-05,8.9109e-05
3,226.125,0.95139,1.6089,1.23033,0.00698,0.66667,0.06002,0.02833,2.26253,4.0641,2.40124,0.0861372,0.000137228,0.000137228
4,287.994,0.95477,1.31012,1.22392,0.00383,0.63889,0.01651,0.00386,3.14125,4.04699,2.70053,0.0811844,0.000184357,0.000184357
5,356.938,0.95173,1.16246,1.20352,0.00261,0.38889,0.00382,0.00092,3.48077,3.8117,3.3526,0.0762305,0.000230496,0.000230496
6,447.946,0.90893,1.07074,1.16721,0.00448,0.52778,0.0129,0.00301,3.01135,3.54746,3.12232,0.0712756,0.000275645,0.000275645
7,508.031,0.93256,1.0045,1.16567,0.00766,0.88889,0.08121,0.0348,2.09338,3.02707,2.57681,0.0663198,0.000319804,0.000319804
8,565.014,0.86432,0.92378,1.12342,0.00744,0.86111,0.20626,0.13525,1.69457,2.71401,2.03549,0.061363,0.000362973,0.000362973
9,642.083,0.96979,0.9006,1.21759,0.00872,0.83333,0.23038,0.14925,1.39168,2.75675,1.8027,0.0564052,0.000405152,0.000405152
10,708.477,0.88337,0.88834,1.14844,0.82473,0.19444,0.32402,0.18497,1.2107,2.7553,1.64277,0.0514463,0.000446341,0.000446341
11,778.141,0.80048,0.77157,1.09257,0.83305,0.55446,0.67579,0.46868,1.10114,2.17373,1.50763,0.0464865,0.00048654,0.00048654
12,834.368,0.84991,0.79746,1.15155,0.95592,0.60269,0.74977,0.5322,1.11065,1.46703,1.47637,0.0415257,0.000525749,0.000525749
13,905.606,0.93259,0.81655,1.24887,0.84436,0.75359,0.80478,0.6287,1.0558,1.32448,1.416,0.036564,0.000563968,0.000563968
14,967.843,0.93423,0.79322,1.23803,0.85352,0.80939,0.85023,0.65703,1.06653,1.37893,1.35465,0.0316012,0.000601197,0.000601197
15,1029.62,0.81246,0.73541,1.11588,0.95265,0.80556,0.90217,0.67366,0.98477,1.13173,1.313,0.0266374,0.000637436,0.000637436
16,1100.09,0.85902,0.80714,1.14032,0.93456,0.83333,0.8977,0.68486,0.90245,1.07765,1.24707,0.0216727,0.000672685,0.000672685
17,1169.14,0.82013,0.74358,1.13512,0.80488,0.83333,0.84153,0.67169,0.87748,1.18147,1.20824,0.0167069,0.000706944,0.000706944
18,1229.19,0.8804,0.76615,1.13853,0.81569,0.80556,0.84252,0.65916,0.8364,1.16744,1.21613,0.0117402,0.000740213,0.000740213
19,1298.2,0.82581,0.72669,1.10596,0.82222,0.77099,0.82034,0.67696,0.80196,1.14507,1.19158,0.00677249,0.000772492,0.000772492
20,1367.28,0.858,0.73488,1.12314,0.86176,0.6927,0.81758,0.6098,0.9001,1.16952,1.26481,0.00180378,0.000803781,0.000803781
21,1424.18,0.81635,0.73058,1.15394,0.95023,0.63889,0.80438,0.63414,0.81588,1.14465,1.18608,0.000802,0.000802,0.000802
22,1498.31,0.83028,0.73492,1.10446,0.94614,0.63889,0.79537,0.62608,0.86052,1.1846,1.22812,0.0007921,0.0007921,0.0007921
23,1560.14,0.81949,0.72958,1.11642,0.9478,0.63889,0.77528,0.62182,0.89665,1.23001,1.24814,0.0007822,0.0007822,0.0007822
24,1624.85,0.77008,0.68577,1.08705,0.81613,0.73999,0.81082,0.62327,0.94711,1.13419,1.25644,0.0007723,0.0007723,0.0007723
25,1698.47,0.78152,0.70047,1.0604,0.78043,0.79006,0.83189,0.6758,0.86583,1.04006,1.23364,0.0007624,0.0007624,0.0007624
26,1758.02,0.80537,0.68133,1.0926,0.81579,0.73829,0.84323,0.66266,0.85641,0.98379,1.27409,0.0007525,0.0007525,0.0007525
27,1826.26,0.77809,0.64694,1.09138,0.78525,0.77778,0.84931,0.68572,0.79245,0.97478,1.18109,0.0007426,0.0007426,0.0007426
28,1891.52,0.76545,0.65739,1.07887,0.90675,0.66667,0.85229,0.68156,0.77943,0.9891,1.14497,0.0007327,0.0007327,0.0007327
29,1949.47,0.79897,0.67209,1.11312,0.87054,0.74723,0.86562,0.71215,0.78733,0.96624,1.14726,0.0007228,0.0007228,0.0007228
30,2001.51,0.78032,0.6731,1.0795,0.86835,0.77778,0.88171,0.72208,0.8096,0.92027,1.16052,0.0007129,0.0007129,0.0007129
31,2065.67,0.74285,0.6594,1.0843,0.77817,0.88889,0.89007,0.70226,0.82827,0.91341,1.15996,0.000703,0.000703,0.000703
32,2118.41,0.7359,0.61381,1.06196,0.88203,0.83333,0.91078,0.71802,0.82425,0.84183,1.11215,0.0006931,0.0006931,0.0006931
33,2199.27,0.7901,0.72192,1.12315,0.90737,0.86111,0.91628,0.74533,0.80806,0.84744,1.10195,0.0006832,0.0006832,0.0006832
34,2324.11,0.73836,0.60096,1.0739,0.85456,0.86111,0.91324,0.74278,0.83823,0.81844,1.12832,0.0006733,0.0006733,0.0006733
35,2434.88,0.761,0.60864,1.11269,0.86007,0.88889,0.91161,0.72291,0.86588,0.82489,1.1441,0.0006634,0.0006634,0.0006634
36,2543.45,0.74461,0.60652,1.11497,0.86739,0.90864,0.92011,0.76072,0.79745,0.79627,1.09555,0.0006535,0.0006535,0.0006535
37,2655.12,0.78777,0.63536,1.12069,0.9386,0.86111,0.90969,0.76408,0.76756,0.76764,1.09717,0.0006436,0.0006436,0.0006436
38,2713.45,0.66759,0.55652,1.02775,0.93734,0.86111,0.91065,0.74378,0.79604,0.7676,1.13862,0.0006337,0.0006337,0.0006337
39,2770.06,0.77084,0.61613,1.11759,0.93644,0.86111,0.92495,0.7328,0.82026,0.7667,1.15391,0.0006238,0.0006238,0.0006238
40,2861.84,0.69795,0.60534,1.07651,0.89275,0.92502,0.94334,0.74195,0.76859,0.73339,1.08986,0.0006139,0.0006139,0.0006139
41,2913.43,0.70154,0.58535,1.06563,0.94135,0.91667,0.94569,0.74216,0.74575,0.68522,1.0699,0.000604,0.000604,0.000604
42,2987.31,0.72089,0.56038,1.06186,0.93707,0.91667,0.94192,0.74774,0.74287,0.69238,1.07171,0.0005941,0.0005941,0.0005941
43,3055.46,0.65871,0.55491,1.04881,0.93657,0.91667,0.93879,0.74281,0.74945,0.70824,1.07246,0.0005842,0.0005842,0.0005842
44,3109.49,0.63318,0.54552,1.04507,0.93865,0.88889,0.91547,0.73964,0.76958,0.75609,1.08238,0.0005743,0.0005743,0.0005743
45,3184.51,0.68977,0.56358,1.05109,0.93846,0.88889,0.90559,0.74398,0.73832,0.76239,1.0611,0.0005644,0.0005644,0.0005644
46,3236.21,0.6915,0.57167,1.03694,0.94113,0.88812,0.88219,0.74782,0.69717,0.73867,1.04253,0.0005545,0.0005545,0.0005545
47,3305.5,0.72629,0.58093,1.03087,0.94102,0.88646,0.89254,0.74736,0.69378,0.72469,1.05395,0.0005446,0.0005446,0.0005446
48,3378.99,0.74658,0.5831,1.09218,0.93448,0.86111,0.87626,0.72301,0.75332,0.7383,1.09587,0.0005347,0.0005347,0.0005347
49,3435.99,0.67932,0.54145,1.05481,0.93243,0.86111,0.88508,0.7228,0.7789,0.73516,1.11478,0.0005248,0.0005248,0.0005248
50,3493.03,0.65989,0.5326,1.01689,0.91045,0.86111,0.8926,0.73277,0.76786,0.71713,1.10679,0.0005149,0.0005149,0.0005149
51,3548.7,0.64192,0.52039,1.0061,0.90823,0.86111,0.88303,0.73063,0.71943,0.69718,1.08381,0.000505,0.000505,0.000505
52,3612.85,0.65189,0.50754,1.05711,0.90875,0.86111,0.90388,0.74248,0.71491,0.6895,1.06946,0.0004951,0.0004951,0.0004951
53,3703.47,0.62859,0.52274,1.02104,0.90806,0.86111,0.90426,0.75085,0.74997,0.69646,1.09287,0.0004852,0.0004852,0.0004852
54,3808.42,0.62138,0.53702,1.01015,0.90514,0.86111,0.9011,0.74494,0.78071,0.70061,1.1193,0.0004753,0.0004753,0.0004753
55,3886.27,0.7176,0.55785,1.08528,0.88266,0.86111,0.88632,0.73459,0.77465,0.70615,1.13394,0.0004654,0.0004654,0.0004654
56,3981.62,0.59814,0.49609,0.99578,0.90876,0.86111,0.87821,0.69959,0.81637,0.76019,1.19075,0.0004555,0.0004555,0.0004555
57,4070.53,0.63032,0.5014,1.02844,0.88295,0.86111,0.87635,0.69933,0.82943,0.74167,1.22583,0.0004456,0.0004456,0.0004456
58,4173.32,0.62963,0.50981,1.00063,0.88304,0.86111,0.885,0.68878,0.8568,0.72887,1.27869,0.0004357,0.0004357,0.0004357
59,4273.33,0.5933,0.4961,0.9855,0.91022,0.86111,0.88952,0.69952,0.84748,0.72996,1.28751,0.0004258,0.0004258,0.0004258
60,4367.17,0.62987,0.53551,1.02617,0.90794,0.86111,0.89665,0.68775,0.80917,0.71463,1.22087,0.0004159,0.0004159,0.0004159
61,4465.61,0.59056,0.48997,1.00992,0.91149,0.85824,0.89988,0.70749,0.81129,0.70669,1.19857,0.000406,0.000406,0.000406
62,4563.73,0.62109,0.50995,0.9873,0.90558,0.83333,0.89878,0.72026,0.79692,0.68295,1.17883,0.0003961,0.0003961,0.0003961
63,4653.75,0.66027,0.51396,1.05584,0.9054,0.83333,0.8955,0.72731,0.75436,0.66535,1.13692,0.0003862,0.0003862,0.0003862
64,4738.06,0.62078,0.50673,1.01602,0.90702,0.86111,0.91566,0.75064,0.69617,0.64519,1.0749,0.0003763,0.0003763,0.0003763
65,4820.29,0.63881,0.51042,1.04486,0.93154,0.86111,0.92186,0.75808,0.69104,0.64579,1.05797,0.0003664,0.0003664,0.0003664
66,4922.67,0.63933,0.51473,1.02723,0.93977,0.86111,0.93123,0.76655,0.72781,0.65361,1.07953,0.0003565,0.0003565,0.0003565
67,5013.8,0.55715,0.47341,0.97487,0.95131,0.86111,0.93015,0.76732,0.72928,0.63565,1.08049,0.0003466,0.0003466,0.0003466
68,5095.5,0.6517,0.51386,1.02231,0.9686,0.857,0.92153,0.76199,0.74743,0.62106,1.10827,0.0003367,0.0003367,0.0003367
69,5193.3,0.58611,0.4898,0.9752,0.96346,0.86111,0.92706,0.77628,0.74189,0.62324,1.11107,0.0003268,0.0003268,0.0003268
70,5271.37,0.64118,0.4763,1.03444,0.96014,0.86111,0.93412,0.77742,0.74367,0.60933,1.10451,0.0003169,0.0003169,0.0003169
71,5359.23,0.63755,0.48569,1.01799,0.96172,0.86111,0.93603,0.78178,0.76054,0.60571,1.10344,0.000307,0.000307,0.000307
72,5439.59,0.56855,0.46886,0.98846,0.96957,0.88531,0.94597,0.76993,0.77687,0.60024,1.11385,0.0002971,0.0002971,0.0002971
73,5515.53,0.56811,0.46002,0.96842,0.96967,0.88818,0.94438,0.77521,0.77505,0.58834,1.11587,0.0002872,0.0002872,0.0002872
74,5595.02,0.56913,0.46444,0.9888,0.96876,0.88889,0.94354,0.7734,0.77161,0.59294,1.12088,0.0002773,0.0002773,0.0002773
75,5679.42,0.55389,0.45739,0.96296,0.95948,0.86111,0.93335,0.76229,0.75627,0.6058,1.11305,0.0002674,0.0002674,0.0002674
76,5752.87,0.63192,0.49236,1.02919,0.96206,0.86111,0.92587,0.77208,0.73446,0.61831,1.09385,0.0002575,0.0002575,0.0002575
77,5837.49,0.55645,0.44273,0.98255,0.96122,0.86111,0.92073,0.77662,0.71253,0.60871,1.07244,0.0002476,0.0002476,0.0002476
78,5919.4,0.59044,0.45747,0.9914,0.96864,0.85814,0.91824,0.77398,0.69288,0.60536,1.05236,0.0002377,0.0002377,0.0002377
79,6006.45,0.53845,0.42773,0.95627,0.96059,0.86111,0.91465,0.77266,0.67935,0.59987,1.03645,0.0002278,0.0002278,0.0002278
80,6099.09,0.56617,0.44761,0.97738,0.94283,0.86111,0.92326,0.76954,0.68807,0.59741,1.03638,0.0002179,0.0002179,0.0002179
81,6185.47,0.54209,0.43323,0.97353,0.94094,0.88516,0.93284,0.77459,0.68371,0.59615,1.03515,0.000208,0.000208,0.000208
82,6262.59,0.55312,0.4218,0.99798,0.91623,0.91159,0.93575,0.78453,0.68047,0.59217,1.03117,0.0001981,0.0001981,0.0001981
83,6345.18,0.49294,0.39509,0.95023,0.94097,0.88571,0.93553,0.78831,0.67547,0.58749,1.03095,0.0001882,0.0001882,0.0001882
84,6425.38,0.5373,0.41619,0.98508,0.94106,0.88703,0.93369,0.78775,0.66083,0.57801,1.02675,0.0001783,0.0001783,0.0001783
85,6505.49,0.52217,0.42324,0.94867,0.94106,0.88708,0.93035,0.78313,0.65271,0.57364,1.0225,0.0001684,0.0001684,0.0001684
86,6578.41,0.55296,0.42493,0.96983,0.94105,0.88694,0.92883,0.78427,0.65477,0.5713,1.02413,0.0001585,0.0001585,0.0001585
87,6663.56,0.51435,0.39786,0.97008,0.94109,0.88752,0.93036,0.78799,0.66048,0.5687,1.02977,0.0001486,0.0001486,0.0001486
88,6746.85,0.50694,0.42542,0.97985,0.9411,0.88771,0.94104,0.79716,0.67431,0.56585,1.03404,0.0001387,0.0001387,0.0001387
89,6817.57,0.57585,0.4364,1.00382,0.94112,0.88802,0.94422,0.79212,0.68284,0.5642,1.03738,0.0001288,0.0001288,0.0001288
90,6887.91,0.55305,0.41977,0.99072,0.94114,0.88836,0.94443,0.78171,0.68956,0.56579,1.04129,0.0001189,0.0001189,0.0001189
91,6964.97,0.38702,0.49235,0.90705,0.94112,0.88803,0.94414,0.78597,0.69511,0.5689,1.04379,0.000109,0.000109,0.000109
92,7042.73,0.38092,0.478,0.87558,0.94102,0.88645,0.93772,0.77888,0.6953,0.59157,1.04412,9.91e-05,9.91e-05,9.91e-05
93,7109.8,0.38841,0.40901,0.89494,0.94098,0.88584,0.9336,0.77369,0.69299,0.59181,1.03963,8.92e-05,8.92e-05,8.92e-05
94,7179.38,0.3671,0.40047,0.90409,0.941,0.88611,0.93138,0.78211,0.69353,0.59781,1.03857,7.93e-05,7.93e-05,7.93e-05
95,7254.75,0.41542,0.41376,0.9024,0.94094,0.88519,0.92876,0.77766,0.68851,0.59815,1.03274,6.94e-05,6.94e-05,6.94e-05
96,7335.51,0.38093,0.38561,0.88656,0.91108,0.88889,0.92486,0.79177,0.67491,0.60629,1.02817,5.95e-05,5.95e-05,5.95e-05
97,7404.73,0.35738,0.38176,0.9051,0.91123,0.88889,0.9229,0.79258,0.67224,0.60976,1.02881,4.96e-05,4.96e-05,4.96e-05
98,7478.38,0.36025,0.36023,0.8693,0.91155,0.88889,0.92078,0.78696,0.67255,0.61047,1.02925,3.97e-05,3.97e-05,3.97e-05
99,7556.2,0.40954,0.44796,0.87829,0.93319,0.86111,0.91854,0.78703,0.66843,0.61386,1.02636,2.98e-05,2.98e-05,2.98e-05
100,7626.48,0.37707,0.38752,0.87292,0.93234,0.86111,0.91781,0.77544,0.6649,0.62741,1.02782,1.99e-05,1.99e-05,1.99e-05
